subject,predicate,object
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,dischromic _patches
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,itching
Fungal infection,HAS_SYMPTOM,skin_rash
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions
Fungal infection,HAS_SYMPTOM,dischromic _patches
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,watering_from_eyes
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,continuous_sneezing
Allergy,HAS_SYMPTOM,shivering
Allergy,HAS_SYMPTOM,chills
Allergy,HAS_SYMPTOM,watering_from_eyes
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,ulcers_on_tongue
