subject,predicate,object,weight
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,itching,6.833333333333333
Fungal infection,HAS_SYMPTOM,skin_rash,5.857142857142857
Fungal infection,HAS_SYMPTOM,nodal_skin_eruptions,41.0
Fungal infection,HAS_SYMPTOM,dischromic _patches,41.0
Allergy,HAS_SYMPTOM,continuous_sneezing,20.5
Allergy,HAS_SYMPTOM,shivering,41.0
Allergy,HAS_SYMPTOM,chills,5.857142857142857
Allergy,HAS_SYMPTOM,watering_from_eyes,41.0
Allergy,HAS_SYMPTOM,shivering,41.0
Allergy,HAS_SYMPTOM,chills,5.857142857142857
Allergy,HAS_SYMPTOM,watering_from_eyes,41.0
Allergy,HAS_SYMPTOM,continuous_sneezing,20.5
Allergy,HAS_SYMPTOM,chills,5.857142857142857
Allergy,HAS_SYMPTOM,watering_from_eyes,41.0
Allergy,HAS_SYMPTOM,continuous_sneezing,20.5
Allergy,HAS_SYMPTOM,shivering,41.0
Allergy,HAS_SYMPTOM,watering_from_eyes,41.0
Allergy,HAS_SYMPTOM,continuous_sneezing,20.5
Allergy,HAS_SYMPTOM,shivering,41.0
Allergy,HAS_SYMPTOM,chills,5.857142857142857
Allergy,HAS_SYMPTOM,shivering,41.0
Allergy,HAS_SYMPTOM,chills,5.857142857142857
Allergy,HAS_SYMPTOM,watering_from_eyes,41.0
